단지명,위도,경도,부동산타입,준공년월,총동수,총세대수,용적률,최소매매가,최대매매가,중간매매가,최소전세가,최대전세가,중간전세가,최소월세,최대월세,최소면적,최대면적,대표면적,매매매물수,전세매물수,월세매물수,총매물수,분양여부,사진수
"에테르노청담(주상복합)",37.527716,127.05124,"아파트",202312,1,29,,2700000,3000000,2850000,1200000,1200000,1200000,4000,5000,307.05,309.18,309,2,16,14,32,,
"PH129",37.526054,127.054312,"아파트",202008,1,29,365,1500000,2500000,1800000,650000,1200000,700000,500,5000,332.88,332.88,332,76,60,22,158,,
"현대빌라트",37.530497,127.027349,"아파트",199608,1,19,237,1050000,1050000,1050000,,,,,,203.03,203.03,203,1,,,1,,
"삼성라테라스",37.515549,127.065772,"아파트",201306,1,18,249,500000,1000000,900000,299000,300000,300000,,,139.86,243.27,224,50,22,,72,,
"현대1,2차",37.533207,127.027512,"재건축",197606,13,960,224,700000,1650000,875000,99500,250000,170000,100,660,141.74,213.46,172,284,134,24,442,,
"한남하이페리온II(주상복합)",37.528351,127.005886,"아파트",200404,1,19,297,850000,850000,850000,,,,1600,2500,266.45,266.45,266,4,,6,10,,
"도곡상지카일룸",37.487887,127.043927,"아파트",201812,1,23,199,800000,800000,800000,,,,,,258.91,258.91,258,2,,,2,,
"미성1차",37.525563,127.020506,"재건축",198211,3,322,93,529000,900000,800000,80000,170000,170000,120,520,111.97,193.03,163,56,65,30,151,,
"연세리버빌3차",37.528429,127.048176,"아파트",199901,1,19,379,590000,850000,790000,350000,430000,370000,,,261.99,262.18,261,18,11,,29,,
"르가든더메인한남",37.531546,127.00985,"아파트",201906,1,16,182,680000,980000,680000,750000,750000,,3000,4500,392.31,494.92,438,13,27,51,91,,
"현대5차",37.532062,127.028466,"아파트",197712,2,224,170,630000,700000,670000,85000,90000,85000,380,380,113.96,113.96,113,59,20,6,85,,
"브라이튼N40",37.514362,127.026587,"아파트",202206,5,148,199,379600,1100000,653000,209000,210000,,150,2000,102.1,209.59,179,49,19,21,90,,
"한양5차",37.529063,127.041946,"아파트",197911,4,343,192,500000,820000,615000,72000,180000,130000,40,300,108.26,168.46,127,31,35,27,93,,
"아노블리81",37.523937,127.041822,"분양",,,,,122000,1087000,604500,,,,,,542.01,878.21,878.21,,,,,true,
"브라운스톤레전드(주상복합)",37.515451,127.042289,"아파트",200908,1,54,599,600000,700000,600000,,,,,,239.85,257.94,239,6,,,6,,
"현대3차",37.532421,127.032727,"아파트",197611,4,432,225,530000,640000,590000,79500,95000,85000,80,80,108.88,108.94,108,98,42,1,141,,
"한보미도맨션1,2차",37.493541,127.067516,"재건축",198311,21,2436,179,420000,750000,550000,89500,210000,130000,25,400,113.31,220.92,152,99,211,149,459,,
"신반포7차",37.512173,127.008623,"재건축",198004,3,320,,438000,550000,545000,60000,110000,85000,200,240,116.4,153.62,153,17,31,2,50,,
"타워팰리스1차(주상복합)",37.488556,127.054664,"아파트",200210,4,1292,919,299000,1200000,530000,249000,600000,300000,320,1400,112.71,403.76,220,184,24,47,255,,
"신반포20차",37.51042,127.011503,"재건축",198312,1,112,,480000,500000,500000,115000,120000,117500,160,400,155.6,155.6,155,4,2,4,10,,
"신반포자이",37.510166,127.008408,"아파트",201807,7,607,298,379000,600000,500000,114500,240000,148000,80,900,85.34,150.53,117,73,100,132,305,,
"미성2차",37.523985,127.019316,"아파트",198712,9,911,,400000,850000,480000,80000,170000,85000,320,490,95.27,163.56,95,167,35,10,212,,
"디에이치반포라클라스",37.500974,127.014697,"아파트",202106,6,848,299,357000,630000,480000,129000,260000,175000,100,890,69.11,151.46,112,102,80,114,296,,
"청담대우로얄카운티6차",37.527863,127.046147,"아파트",200509,1,12,199,450000,450000,450000,210000,210000,210000,,,179.25,179.25,179,3,5,,8,,
"삼성중앙하이츠빌리지",37.516113,127.04615,"아파트",200412,5,298,269,264500,540000,450000,119500,125000,,440,450,83.93,192.66,192,25,7,4,36,,
"역삼자이",37.500719,127.04443,"아파트",201606,3,408,299,315000,460000,450000,120000,180000,175000,80,750,88.11,151.98,151,15,20,26,61,,
"대치쌍용2차",37.499721,127.070685,"재건축",198311,4,364,176,385000,450000,450000,84000,120000,120000,100,100,102.47,141.71,141,16,11,3,30,,
"현대3차",37.488014,127.061354,"아파트",198603,5,198,147,420000,450000,430000,85000,180000,180000,60,160,105.86,193.76,193,4,19,16,39,,
"신반포25차",37.514861,127.009347,"재건축",198412,2,169,176,420000,420000,420000,65000,110000,80000,200,280,113.97,126.22,113,1,8,5,14,,
"현대넥서스(261-7)",37.511845,127.036533,"아파트",200010,1,18,266,400000,440000,400000,,,,,,253.28,254.09,254,6,,,6,,
"동궁빌리지",37.524325,127.043138,"아파트",199311,1,16,208,400000,400000,400000,,,,650,650,139.29,139.29,139,1,,6,7,,
"롯데캐슬프레미어",37.515662,127.0449,"아파트",200703,11,713,269,339000,600000,400000,119000,300000,150000,220,600,106.93,239.42,145,74,48,8,130,,
"디에이치퍼스티어아이파크",37.480393,127.057099,"아파트",202311,74,6702,249,150000,1200000,400000,66500,600000,145000,50,960,50.73,230.47,110,147,512,604,1265,,
"디에이치대치에델루이",37.50307,127.06064,"아파트분양권",202508,8,282,,400000,600000,400000,129000,350000,180000,40,1060,80.11,165.07,111,5,245,236,486,,
"서초롯데캐슬84",37.49273,127.01833,"아파트",200102,2,84,463,350000,500000,390000,,,,,,249.8,249.8,249,18,,,18,,
"더샵오데움(101,102동)",37.482615,127.009206,"아파트",200512,2,95,250,390000,500000,390000,289000,320000,290000,280,500,232.07,270.34,232,33,15,5,53,,
"디에이치자이개포",37.491183,127.075206,"아파트",202107,15,1996,336,300000,1100000,380000,128000,300000,160000,60,900,81.76,222.18,108,136,177,170,483,,
"서초푸르지오써밋",37.501348,127.021151,"아파트",201706,7,907,299,308000,450000,380000,119000,190000,145000,100,560,80.96,160.83,112,146,116,129,398,,
"대치푸르지오써밋",37.502438,127.060288,"아파트",202306,9,489,237,378000,520000,380000,129000,300000,178000,40,680,70.24,148.99,108,33,149,173,360,,
"반포센트레빌아스테리움",37.503289,127.01618,"아파트",202107,2,108,298,370000,370000,370000,137000,140000,139000,220,350,103.6,114.47,103,1,8,13,22,,
"노블테라스",37.511859,127.044812,"아파트",200307,1,10,263,360000,360000,360000,150000,150000,150000,,,228.01,228.01,228,1,3,,4,,
"강변임광",37.53516,127.05691,"재건축",200008,2,141,264,300000,370000,360000,35000,65000,65000,350,350,82.91,117.79,117,6,4,1,11,,
"신동아",37.51024,127.034088,"아파트",199612,2,12,87,350000,350000,350000,200000,200000,200000,800,800,262.2,262.2,262,2,3,1,6,,
"청담린든그로브",37.522752,127.053648,"아파트",201708,5,114,193,309000,650000,350000,159500,500000,170000,400,1800,114.36,251.51,114,83,35,30,148,,
"한남아이파크애비뉴",37.532221,127.007487,"분양",,,,,70960,614080,342520,,,,,,2163.36,3292.6,3292.6,,,,,true,
"트윈빌",37.534173,127.01038,"아파트",200812,2,38,199,320000,450000,330000,250000,250000,,,,151.63,216.41,151,20,4,,24,,
"상지리츠빌6차",37.527753,127.050368,"아파트",200202,1,19,290,330000,330000,330000,200000,220000,200000,300,1000,169.3,189.3,169,15,13,15,43,,
"진흥",37.519107,127.053193,"아파트",198407,3,255,179,319000,850000,320000,84500,200000,85000,140,280,110.92,221.01,110,15,8,8,31,,
"청구강변(101동)",37.535518,127.054638,"재건축",199404,1,246,,320000,320000,320000,55000,60000,56000,100,100,103.91,103.91,103,1,11,1,13,,
"쌍용플래티넘(주상복합)",37.512403,127.051932,"아파트",200312,2,88,715,320000,320000,320000,184500,200000,184750,340,600,183.04,188.65,183,1,8,16,25,,
"청담대우유로카운티",37.523597,127.050059,"아파트",200404,4,196,282,270000,420000,310000,120000,150000,,135,1000,124.43,213.46,142,85,6,10,101,,
"삼성포스코더샵(주상복합)",37.513084,127.054932,"아파트",200308,1,72,849,310000,590000,310000,185000,185000,,600,640,176.54,228.05,183,16,2,3,21,,
"방배래미안아트힐",37.477688,127.005111,"아파트",200412,10,588,294,260000,330000,310000,129000,150000,140000,150,250,136.65,201.28,152,41,12,5,58,,
"우성1,2,3차",37.506685,127.07294,"재건축",198112,26,1842,,260000,420000,305000,53000,150000,67000,100,250,86.09,173.63,104,30,42,20,93,,
"강남역센트럴애비뉴",37.497841,127.029544,"분양",,,,,65500,540900,303200,,,,,,1861.17,2769.46,2769.46,,,,,true,
"강변삼부",37.517125,127.06565,"아파트",200009,1,48,336,210000,300000,300000,,,,,,100.64,135.66,135,3,,,3,,
