단지명,위도,경도,부동산타입,준공년월,총동수,총세대수,최소매매가,최대매매가,중간매매가,최소전세가,최대전세가,중간전세가,매매매물수,전세매물수,월세매물수
"강남역센트럴애비뉴",37.497841,127.029544,"분양",,,,65500,540900,303200,,,,,,
"한남아이파크애비뉴",37.532221,127.007487,"분양",,,,70960,614080,342520,,,,,,
"아노블리81",37.523937,127.041822,"분양",,,,122000,1087000,604500,,,,,,
"학동씨엘타워",37.514883,127.032616,"분양",,,,47759,295272,171515,,,,,,
"강남 삼부르네상스 시티",37.489534,127.030544,"분양",,,,33837,84995,59416,,,,,,
"건대입구역 더 라움 에비뉴",37.538751,127.069809,"분양",,,,45011,286286,165648,,,,,,
"지젤 라이프그라피 서초",37.486358,127.013226,"분양",,,,172201,217992,195096,,,,,,
"힐스테이트 삼성",37.5073,127.054805,"분양",,,,151900,420500,286200,,,,,,
"서울숲아이파크리버포레1차",37.55113,127.043579,"분양",,,,35227,117552,76389,,,,,,
"성수드림빌드",37.543636,127.058298,"분양",,,,65333,68304,66818,,,,,,
"라온빌(도시형)",37.490438,127.036289,"아파트",201305,1,11,,,,,,,,,
"다사랑빌(도시형)",37.493865,127.034071,"아파트",201207,1,11,,,,,,,,,
"광평하우스빌",37.491566,127.035787,"아파트",199707,1,16,,,,,,,,,
"토미하우스(도시형)",37.511675,127.026371,"아파트",201304,1,14,,,,,,,,,
"디아트(주상복합)",37.52519,127.049858,"아파트",201407,1,16,,,,,,,,,
"랜드마크Ⅱ(도시형)",37.534219,127.064772,"아파트",202207,1,24,,,,,,,,,
"더케이(도시형)",37.518058,127.039142,"아파트",201205,1,16,,,,,,,,,
"꿈꾸지오(697-23)",37.506274,127.044981,"아파트",201611,1,16,,,,,,,,,
"호정빌라트",37.490671,127.082976,"아파트",199505,1,19,,,,,,,,,
"서초다솔맴버스",37.486662,127.005948,"아파트",200307,1,6,,,,,,,,,
"신반포21차",37.509127,127.01362,"재건축",198412,2,108,,,,,,,,,
"로얄하이츠",37.481179,127.009938,"아파트",200505,1,12,,,,,,,,,
"진흥펠리체(도시형)",37.508478,127.031283,"아파트",201511,2,40,,,,,,,,,
"더클래스(도시형)",37.488071,127.017509,"아파트",202007,1,20,,,,,,,,,
"신구블레스벨리",37.488006,127.007394,"아파트",200207,1,10,,,,,,,,,
"신성빌리지",37.487213,127.044538,"아파트",199507,2,16,,,,,,,,,
"비스킷(도시형)",37.487463,127.03503,"아파트",201306,1,19,,,,,,,,,
"포이벨리",37.47462,127.055156,"아파트",200112,1,10,,,,,,,,,
"로덴하우스이스트빌리지",37.485699,127.046774,"아파트",200910,1,33,,,,,,,,,
"양재테크노2차",37.482434,127.041874,"아파트",200204,1,19,,,,,,,,,
"동연빌(주상복합)",37.489016,127.040218,"아파트",200108,1,18,,,,,,,,,
"S-타워(주상복합)",37.503447,127.065572,"아파트",199607,1,19,,,,,,,,,
"한영그린빌(도시형)",37.52948,127.07617,"아파트",201508,1,10,,,,,,,,,
"서초엔-스위트1차",37.487224,127.007608,"아파트",200409,2,36,163000,165000,165000,100000,100000,100000,12,3,
"스위트캐슬",37.516456,127.028498,"아파트",200307,2,16,,,,,,,,,
"도곡스타빌",37.484133,127.042565,"아파트",200609,1,15,,,,,,,,,
"아미헌(도시형)",37.506289,127.041575,"아파트",201308,1,21,,,,,,,,,
"네스빌",37.498271,127.040064,"아파트",199605,1,9,,,,130000,130000,130000,,1,
"한강아남",37.533348,127.065063,"아파트",199512,1,47,,,,,,,,,
"반트하임(도시형)",37.476128,127.036371,"아파트",201609,4,40,,,,,,,,,
"기산빌라트",37.527984,127.080539,"아파트",199706,1,19,,,,,,,,,
"플래티늄",37.498557,127.042336,"아파트",200305,1,19,,,,,,,,,
"역삼르비앙",37.49185,127.035286,"아파트",200311,1,12,152000,152000,152000,,,,2,,
"서초가람",37.485093,127.024501,"아파트",200501,1,10,,,,,,,,,
"서초스위트빌",37.486219,127.006321,"아파트",200308,1,17,,,,,,,,,
"세인트빌",37.52027,127.014366,"아파트",200403,1,5,,,,,,,,,
"대원리버빌",37.530617,127.071716,"아파트",200108,1,40,135000,135000,135000,,,,15,,
"파로스타워(도시형)",37.505352,127.078853,"아파트",202006,1,27,,,,,,,,,
"이움",37.50924,127.034123,"아파트",200509,1,10,,,,,,,,,
"에버그린(주상복합)",37.482932,127.061271,"아파트",200303,1,9,,,,48000,48000,48000,,1,
"아스하임(627-26,도시형)",37.534799,127.083455,"아파트",201911,1,13,,,,,,,,,
"스타힐스(도시형)",37.494424,127.04169,"아파트",201211,1,27,,,,,,,,,
"삼성벽산블루밍",37.517343,127.052299,"아파트",200602,2,26,190000,190000,190000,230000,250000,,5,27,24
"우찬현대(103)",37.479506,127.048628,"아파트",200606,1,10,,,,,,,,,
"현대타운",37.480568,127.039592,"아파트",200510,2,34,,,,,,,,,
"자양삼성",37.528631,127.082181,"아파트",200104,1,10,81000,81000,81000,,,,1,,
"리더스빌",37.508253,127.032484,"아파트",200408,1,19,,,,,,,,,
"베르사이유",37.499391,127.039588,"아파트",200311,1,16,185000,185000,185000,,,,7,,
"노블스위트",37.496174,127.037311,"아파트",200312,1,19,,,,,,,,,
"도곡상지카일룸",37.487887,127.043927,"아파트",201812,1,23,800000,800000,800000,,,,2,,
"라디안",37.513091,127.02252,"아파트",200403,1,10,170000,170000,170000,,,,1,,
"리갈팰리스",37.523691,127.030645,"아파트",200709,1,15,,,,,,,,,
"신동아",37.51024,127.034088,"아파트",199612,2,12,350000,350000,350000,200000,200000,200000,2,3,1
"아스하임(626-3,도시형)",37.535714,127.083225,"아파트",201709,1,12,29000,29000,29000,,,,1,,
"현대빌라트",37.530497,127.027349,"아파트",199608,1,19,1050000,1050000,1050000,,,,1,,
"도곡월드메르디앙(973)",37.488616,127.039762,"아파트",202308,2,48,,,,,,,,,
"삼성이안파크",37.508594,127.053439,"아파트",200405,1,19,220000,230000,225000,,,,7,,
"서초노빌리에",37.489912,127.01335,"아파트",200608,1,19,125000,130000,125000,85000,85000,,10,5,
"양재현대",37.473956,127.044232,"아파트",200301,1,14,130000,130000,130000,,,,1,,
"더헤리움(B동)",37.523647,127.052529,"아파트",201706,1,8,75000,80000,80000,65000,65000,,3,1,
"신사파크빌",37.520494,127.026489,"아파트",200409,2,28,,,,,,,,,
"청담대우로얄카운티6차",37.527863,127.046147,"아파트",200509,1,12,450000,450000,450000,210000,210000,210000,3,5,
"현대넥서스(261-7)",37.511845,127.036533,"아파트",200010,1,18,400000,440000,400000,,,,6,,
"세방",37.517465,127.052863,"아파트",199809,1,14,,,,,,,,,2
"우성",37.521804,127.046824,"아파트",200501,1,25,135000,190000,135000,,,,29,,
"잠원시티",37.511783,127.005316,"아파트",201708,1,29,49000,55000,55000,30000,30000,,4,3,2
"청담대우멤버스카운티XII",37.52656,127.050995,"아파트",200412,1,16,,,,,,,,,7
"아나하(도시형)",37.514213,127.036847,"아파트",202006,1,16,190000,380000,210000,120000,250000,,18,17,
"세호시티라이프(주상복합)",37.510475,127.024334,"아파트",199603,1,19,49000,50000,49000,,,,2,,
"우성",37.507577,127.028082,"아파트",200407,1,14,140000,140000,140000,,,,1,,
"상지리츠빌역삼2차",37.496752,127.04643,"아파트",200612,1,19,,,,140000,150000,140000,,6,
"필로스",37.48694,127.044282,"아파트",200401,1,8,120000,120000,120000,,,,4,,
"자양명진센트라임(도시형)",37.536404,127.081862,"아파트",201712,1,27,,,,,,,,,
"N168(도시형)",37.513061,127.029552,"아파트",202103,1,132,,,,,,,,,
"세영팔레스",37.50085,127.06214,"아파트",200201,1,67,230000,250000,240000,72000,72000,,12,6,
"강변삼부",37.517125,127.06565,"아파트",200009,1,48,210000,300000,300000,,,,3,,
"논현한가람",37.51872,127.03742,"아파트",200210,1,32,180000,180000,180000,109000,110000,,2,9,
"서초롯데캐슬84",37.49273,127.01833,"아파트",200102,2,84,350000,500000,390000,,,,18,,
"삼성대우멤버스카운티5차",37.512844,127.044042,"아파트",200511,1,17,,,,143000,143000,143000,,10,5
"현대빌라트",37.511985,127.051564,"아파트",200411,1,14,250000,250000,250000,,,,1,,
